Condo Name,Address
CAVENDISH PARK,"16 Pine Grove, 597593"
CELADON VIEW,"45 Jalan Loyang Besar, 507029"
CELESTIA,"160 Joo Chiat Terrace, 427305"
CENTENNIA SUITES,"100 Kim Seng Road, 239427"
CENTRA HEIGHTS,"455 Sims Avenue, 387607"
CENTRA LOFT,"3 Lorong 35 Geylang, 387935"
CENTRA RESIDENCE,"8 Lorong 7 Geylang, 388792"
CENTRA STUDIOS,"25 Lorong 25 Geylang, 388302"
CENTRA SUITES,"38 Lorong 25a Geylang, 388242"
CENTRAL GREEN CONDOMINIUM,"1 Jalan Membina, 169479"
CENTRAL GROVE,"1 Geylang East Avenue 1, 389778"
CENTRAL IMPERIAL,"3 Lorong 14 Geylang, 398915"
CENTRAL MEADOWS,"51 Lorong 34 Geylang, 39824"
CENTRAL VIEW,"50 Hougang Street 11, 538749"
CENTRINA,"11 Everitt Road North, 428524"
CENTRO MANSIONS,"20 Lorong 32 Geylang, 39828"
CENTRO RESIDENCES,"59 Ang Mo Kio Avenue 8, 567752"
CENTURY VILLE,"4 Keng Chin Road, 258707"
CEYLON CREST,"30 Ceylon Road, 429623"
CEYLON POINT,"94 Ceylon Road, 429674"
CEYLON RESIDENCE,"107 Ceylon Road, 42969"
CHAMBERY MANSIONS,"7 Sarkies Road, 258127"
CHANCERY ESQUIRE,"8 Chancery Lane, 309494"
CHANCERY PARK,"9 Chancery Lane, 309499"
CHANGI COMPLEX,"371 Bedok Road, 469549"
CHANGI COURT,"698 Upper Changi Road East, 486828"
CHANGI GARDEN,"961 Upper Changi Road North, 507663"
CHANGI GREEN,"712 Upper Changi Road East, 486842"
CHANTILLY RISE,"80 Hillview Avenue, 669579"
CHAPEL COURT,"27 Sea Avenue, 424247"
CHAPEL LODGE,"41 Lorong Stangee, 425032"
CHAR YONG GARDENS,"1 Hullet Road, 229157"
CHARISMA VIEW,"167 Jalan Jurong Kechil, 598671"
CHARLES VILLE,"418 Upper Paya Lebar Road, 534996"
CHARLESTON,"10 Shanghai Road, 248184"
CHARLTON CORNER,"1 Charlton Lane, 539631"
CHARLTON GARDENS,"39 Charlton Road, 539607"
CHARMING GARDEN,"138 King's Road, 268156"
CHATEAU ELIZA,"18 Mount Elizabeth, 228514"
CHATEAU LE FAME,"51 Ewe Boon Road, 259345"
CHELSEA GARDENS,"6 Walshe Road, 25765"
CHELSEA GROVE,"2 Martaban Road, 328626"
CHELSEA LODGE,"300 Tanjong Katong Road, 437083"
CHEN FANG MANSIONS,"26 Lorong 33 Geylang, 387986"
CHENG HOE HOUSE,"10 Kovan Road, 548036"
CHERRY GARDENS,"61 Lorong Lew Lian, 536491"
CHERRYHILL,"21 Lorong Lew Lian, 536467"
CHESTERVALE,"31 Bangkit Road, 679973"
CHESTNUT-VILLE,"2 Jalan Pakis, 678595"
CHEZ BRIGHT APARTMENT,"18 St. Thomas Walk, 238106"
CHIKU MANSIONS,"5 Chiku Road, 429419"
CHILTERN PARK CONDO,"131 Serangoon Avenue 3, 556112"
CHIVERTON,"50 Ewe Boon Road, 259343"
CHNG MANSIONS,"120 Arthur Road, 439828"
CHONG KIM APARTMENT,"8 Bassein Road, 309838"
CHOON KIM HOUSE,"780 Upper Serangoon Road, 534649"
CHOON MOEY MANSIONS,"36 Lorong 31 Geylang, 388034"
CHUAN COURT,"131 Lorong Chuan, 55674"
CHUAN GREEN,"76 Chuan Drive, 554823"
CHUAN LOFT,"60 Chuan Drive, 554611"
CHUAN PARK,"240 Lorong Chuan, 556743"
CHUAN SEVEN,"18 Chuan Drive, 554865"
CHUNG CHIN FLATS,"344 East Coast Road, 428963"
CITIGATE RESIDENCE,"168 Rangoon Road, 218437"
CITIPORT CENTRE,"50 Telok Blangah Road, 98828"
CITY EDGE,"14 Moulmein Rise, 308129"
CITY GATE,"371 Beach Road, 199597"
CITY LOFT,"363 Race Course Road, 218636"
CITY PLAZA,"810 Geylang Road, 409286"
CITY REGENCY,"18 Saint Michael's Road, 327977"
CITY SQUARE RESIDENCES,"14 Kitchener Link, 207223"
CITY STUDIOS,"30 Race Course Lane, 218745"
CITY SUITES,"235 Balestier Road, 329699"
CITY TOWERS,"317 Bukit Timah Road, 259711"
CITYLIFE @ TAMPINES,"69 Tampines Central 7, 528596"
CITYLIFE@TAMPINES,"57 Tampines Central 7, 528593"
CITYLIGHTS,"82 Jellicoe Road, 208741"
CITYSCAPE @ FARRER PARK,"101 Mergui Road, 219067"
CITYVISTA RESIDENCES,"21 Peck Hay Road, 228314"
CLAREMONT,"161 Killiney Road, 239569"
CLAYMORE PLAZA,"6 Claymore Hill, 229571"
CLEMENTI PARK,"115 Sunset Way, 597149"
CLEMENTIWOODS CONDOMINIUM,"90 West Coast Road, 12681"
CLERMONT RESIDENCE,"3 Wallich Street, 78882"
CLIFTEN,"48 Ewe Boon Road, 259342"
CLIVEDEN AT GRANGE,"100 Grange Road, 249591"
CLOVER BY THE PARK,"2 Bishan Street 25, 573973"
CLOVER PARK,"12 Jalan Binchang, 574037"
CLUNY COURT,"501 Bukit Timah Road, 25976"
CLUNY PARK RESIDENCE,"99 Cluny Park Road, 257496"
CLYDES RESIDENCE,"78 Mergui Road, 219054"
COASTAL BREEZE RESIDENCES,"8 Loyang Besar Close, 509049"
COASTAL VIEW RESIDENCES,"179 Jalan Loyang Besar, 506926"
COASTARINA,"510 East Coast Road, 459135"
COCO PALMS,"21 Pasir Ris Grove, 51807"
COMFORT MANSION,"25 Jalan Datoh, 329418"
COMMONWEALTH TOWERS,"230 Commonwealth Avenue, 149739"
COMPASS HEIGHTS,"9 Sengkang Square, 545075"
CONCOURSE SKYLINE,"298 Beach Road, 199554"
CORALIS,"530 Joo Chiat Road, 42771"
CORALS AT KEPPEL BAY,"1 Keppel Bay Drive, 98012"
CORONA VILLE,"35 Jalan Haji Alias, 268535"
CORONATION ARCADE,"5 Coronation Road, 269406"
CORONATION GROVE,"138 Coronation Road, 269525"
CORONATION SHOPPING PLAZA,"587 Bukit Timah Road, 269707"
COSMO,"18 Guillemard Crescent, 399914"
COSMO LOFT,"235 Balestier Road, 329699"
COSTA DEL SOL,"68 Bayshore Road, 469986"
COSTA ESTE,"42 Lorong K Telok Kurau, 425653"
COSTA RHU,"1 Rhu Cross, 437431"
COSY 23,"23 Lorong 30 Geylang, 398355"
COSY LODGE,"29 Lorong 31 Geylang, 388029"
COTE D'AZUR,"60 Marine Parade Road, 449297"
COUNTRY ESQUIRE,"20 Lorong Puntong, 576438"
COUNTRY GRANDEUR,"22 Lorong Puntong, 576439"
COUNTRY PARK CONDO,"37 Bedok Road, 469362"
COUNTRY PARK CONDOMINIUM,"37 Bedok Road, 46936"
CRADELS,"10 Lorong Limau, 328754"
CRAIG PLACE,"20 Craig Road, 89692"
CRANE COURT,"38 Crane Road, 429381"
CRESCENDO BUILDING,"17 Upper East Coast Road, 455208"
CRESCENDO PARK,"6 Jalan Tua Kong, 457269"
CROWN CENTRE,"557 Bukit Timah Road, 269694"
CRYSTAL COURT,"456 River Valley Road, 248342"
CRYSTAL DE AZURE,"18 How Sun Close, 538645"
CRYSTAL DEW,"10 Geylang East Avenue 1, 389781"
CRYSTAL HEIGHTS,"75 Pasir Panjang Hill, 118885"
CRYSTAL LODGE,"30 Lorong 16 Geylang, 39887"
CRYSTAL MANSIONS,"3 Lorong 6 Geylang, 399165"
CRYSTAL TOWER,"41 Ewe Boon Road, 259335"
