key1,Condo Name,Address,GPR,simp_gpr,area
199,BOTANIKA,"BOTANIKA, Singapore",1.4,1.4,
201,BOTANNIA,"BOTANNIA, Singapore",3.0,3.0,
202,BOUGAINVILLA APARTMENTS,"BOUGAINVILLA APARTMENTS, Singapore",2.8,2.8, 
203,BOULEVARD VUE,"BOULEVARD VUE, Singapore",2.8,2.8, 
211,BUCKLEY 18,"BUCKLEY 18, Singapore",1.4,1.4,
212,BUCKLEY RESIDENCE,"BUCKLEY RESIDENCE, Singapore",1.4,1.4, 
213,BUKIT REGENCY,"BUKIT REGENCY, Singapore",1.4,1.4, 
215,BULLION PARK,"BULLION PARK, Singapore",2.8,2.8,
216,BUONA LODGE,"BUONA LODGE, Singapore",1.4,1.4, 
219,BUTTERWORTH VIEW,"BUTTERWORTH VIEW, Singapore",2.8,2.8, 
221,CAIRNHILL ASTORIA,"CAIRNHILL ASTORIA, Singapore",2.8,2.8, 
222,CAIRNHILL CREST,"CAIRNHILL CREST, Singapore",2.8,2.8, 
224,CAIRNHILL PLAZA,"CAIRNHILL PLAZA, Singapore",2.8,2.8, 
225,CAIRNHILL RESIDENCES,"CAIRNHILL RESIDENCES, Singapore",2.8,2.8, 
226,CALARASI,"CALARASI, Singapore",2.8,2.8, 
227,CALIN MANSIONS,"CALIN MANSIONS, Singapore",2.8,2.8, 
228,CALLIDORA VILLE,"CALLIDORA VILLE, Singapore",1.4,1.4, 
229,CAMBIO SUITES,"CAMBIO SUITES, Singapore",1.4,1.4,"2,664.1 sqm"
235,CANBERRA RESIDENCES,"CANBERRA RESIDENCES, Singapore",1.4,1.4, 
236,CANDEVILLE,"CANDEVILLE, Singapore",1.4,1.4, 
241,CAPE ROYALE,"CAPE ROYALE, Singapore",2.8,2.8,
242,CARABELLE,"CARABELLE, Singapore",2.8,2.8,
243,CARDIFF RESIDENCE,"CARDIFF RESIDENCE, Singapore",1.4,1.4,"5,860.2 sqm"
245,CARISSA PARK CONDOMINIUM,"CARISSA PARK CONDOMINIUM, Singapore",1.4,1.4, 
249,CARMI MANSIONS,"CARMI MANSIONS, Singapore",2.8,2.8, 
251,CASA AERATA,"CASA AERATA, Singapore",1.4,1.4,
252,CASA AL MARE,"CASA AL MARE, Singapore",1.4,1.4,"2,466.8 sqm"
254,CASA CAIRNHILL,"CASA CAIRNHILL, Singapore",2.8,2.8, 
255,CASA CAMBIO,"CASA CAMBIO, Singapore",1.4,1.4, 
257,CASA EMERALD,"CASA EMERALD, Singapore",2.8,2.8,
258,CASA ESPANIA,"CASA ESPANIA, Singapore",1.4,1.4, 
259,CASA ESPERANZA,"CASA ESPERANZA, Singapore",2.07,2.1, 
263,CASA FORTUNA,"CASA FORTUNA, Singapore",2.8,2.8,"2,568.4 sqm"
264,CASA IRRAWADDY,"CASA IRRAWADDY, Singapore",2.8,2.8, 
265,CASA JERVOIS,"CASA JERVOIS, Singapore",1.4,1.4, 
266,CASA MELWANI,"CASA MELWANI, Singapore",2.8,2.8, 
268,CASA MEYA,"CASA MEYA, Singapore",2.1,2.1, 
269,CASA NOVACREST,"CASA NOVACREST, Singapore",1.4,1.4,
270,CASA PASIR RIS,"CASA PASIR RIS, Singapore",1.4,1.4,
272,CASA ROSA,"CASA ROSA, Singapore",1.4,1.4, 
273,CASA SARINA,"CASA SARINA, Singapore",1.4,1.4, 
276,CASABLANCA,"CASABLANCA, Singapore",1.4,1.4,
277,CASAFINA,"CASAFINA, Singapore",1.4,1.4, 
