Index,Condo Name,Address,Postal Code
216,BUTTERWORTH VIEW,"21 Butterworth Lane, 439431",439431
217,CADENCE LIGHT,"199 Telok Kurau Road, 423833",423833
218,CAIRNHILL ASTORIA,"6 Cairnhill Rise, 229741",229741
219,CAIRNHILL CREST,"2 Cairnhill Circle, 229811",229811
220,CAIRNHILL HEIGHTS,"16 Cairnhill Rise, 229744",229744
221,CAIRNHILL PLAZA,"53 Cairnhill Road, 229664",229664
222,CAIRNHILL RESIDENCES,"31 Cairnhill Circle, 229774",229774
223,CALARASI,"31 Kim Keat Lane, 328882",328882
224,CALIN MANSIONS,"30 Lorong 33 Geylang, 387987",387987
225,CALLIDORA VILLE,"19 Lorong N Telok Kurau, 425145",425145
226,CAMBIO SUITES,"28 Lim Tua Tow Road, 547791",547791
227,CAMELLIA LODGE,"31 Lorong 31 Geylang, 38803",388030
228,CAMELODGE,"112 Upper East Coast Road, 455006",455006
229,CANARY VILLE,"138 Lorong J Telok Kurau, 423484",423484
230,CANBERLIN APARTMENTS,"60 Lorong 16 Geylang, 398887",398887
231,CANBERLIN LODGE,"69 Lorong 6 Geylang, 399221",399221
232,CANBERRA RESIDENCES,"501 Canberra Drive, 768124",768124
233,CANDEVILLE,"37 Lorong M Telok Kurau, 425316",425316
234,CANNAVILLE,"34 Duku Road, 429192",429192
235,CANNE LODGE,"75 Lorong 3 Geylang, 388869",388869
236,CANTIZ @ RAMBAI,"21 Rambai Road, 42434",424340
237,CAPE ROYALE,"11 Cove Way, 98202",98202
238,CARABELLE,"51 West Coast Way, 127015",127015
239,CARDIFF RESIDENCE,"101 Cardiff Grove, 558961",558961
240,CARIBBEAN AT KEPPEL BAY,"46 Keppel Bay Drive, 98635",98635
241,CARISSA PARK CONDOMINIUM,"2 Flora Drive, 507025",507025
242,CARLISLE COURT,"35 Carlisle Road, 219599",219599
243,CARLYX GREEN,"41 Carlisle Road, 219606",219606
244,CARLYX RESIDENCE,"39 Carlisle Road, 219604",219604
