Index,Condo Name,Address
281,CASHEW PARK CONDOMINIUM,"50 Cashew Road, 679633"
282,CASPIAN,"50 Lakeside Drive, 648315"
283,CASSIA EDGE,"343 Guillemard Road, 399764"
284,CASSIA VIEW,"320 Guillemard Road, 399746"
285,CASTLE GREEN,"481 Yio Chu Kang Road, 787056"
286,CASTLE LOFT,"133 Lorong K Telok Kurau, 42577"
287,CAVAN ROAD,"1 Cavan Road, 209842"
288,CAVENAGH COURT,"151 Cavenagh Road, 229628"
289,CAVENAGH GARDENS,"69 Cavenagh Road, 229622"
290,CAVENAGH HOUSE,"100 Clemenceau Avenue North, 229491"
291,CAVENAGH LODGE,"81 Cavenagh Road, 229626"
292,CAVENDISH PARK,"16 Pine Grove, 597593"
293,CELADON VIEW,"45 Jalan Loyang Besar, 507029"
294,CELESTIA,"160 Joo Chiat Terrace, 427305"
295,CENTRA HEIGHTS,"455 Sims Avenue, 387607"
296,CENTRA LOFT,"3 Lorong 35 Geylang, 387935"
297,CENTRA RESIDENCE,"8 Lorong 7 Geylang, 388792"
298,CENTRA STUDIOS,"25 Lorong 25 Geylang, 388302"
299,CENTRA SUITES,"38 Lorong 25a Geylang, 388242"
300,CENTRAL GREEN CONDOMINIUM,"1 Jalan Membina, 169479"
301,CENTRAL GROVE,"1 Geylang East Avenue 1, 389778"
302,CENTRAL IMPERIAL,"3 Lorong 14 Geylang, 398915"
303,CENTRAL MEADOWS,"51 Lorong 34 Geylang, 39824"
304,CENTRAL VIEW,"50 Hougang Street 11, 538749"
305,CENTRINA,"11 Everitt Road North, 428524"
306,CENTRO MANSIONS,"20 Lorong 32 Geylang, 39828"
307,CENTRO RESIDENCES,"59 Ang Mo Kio Avenue 8, 567752"
308,CEYLON CREST,"30 Ceylon Road, 429623"
309,CEYLON POINT,"94 Ceylon Road, 429674"
310,CEYLON RESIDENCE,"107 Ceylon Road, 42969"
311,CHANCERY ESQUIRE,"8 Chancery Lane, 309494"
312,CHANCERY PARK,"9 Chancery Lane, 309499"
313,CHANGI COURT,"698 Upper Changi Road East, 486828"
314,CHANGI GARDEN,"961 Upper Changi Road North, 507663"
315,CHANGI GREEN,"712 Upper Changi Road East, 486842"
316,CHANTILLY RISE,"80 Hillview Avenue, 669579"
317,CHAPEL COURT,"27 Sea Avenue, 424247"
318,CHAPEL LODGE,"41 Lorong Stangee, 425032"
319,CHARISMA VIEW,"167 Jalan Jurong Kechil, 598671"
320,CHARLESTON,"10 Shanghai Road, 248184"
321,CHARLTON CORNER,"1 Charlton Lane, 539631"
322,CHARMING GARDEN,"138 King's Road, 268156"
323,CHATEAU LE FAME,"51 Ewe Boon Road, 259345"
324,CHELSEA GARDENS,"6 Walshe Road, 25765"
325,CHELSEA LODGE,"300 Tanjong Katong Road, 437083"
326,CHEN FANG MANSIONS,"26 Lorong 33 Geylang, 387986"
327,CHERRY GARDENS,"61 Lorong Lew Lian, 536491"
328,CHERRYHILL,"21 Lorong Lew Lian, 536467"
329,CHESTERVALE,"31 Bangkit Road, 679973"
330,CHESTNUT-VILLE,"2 Jalan Pakis, 678595"
331,CHIKU MANSIONS,"5 Chiku Road, 429419"
332,CHIVERTON,"50 Ewe Boon Road, 259343"
333,CHNG MANSIONS,"120 Arthur Road, 439828"
334,CHOON KIM HOUSE,"780 Upper Serangoon Road, 534649"
335,CHOON MOEY MANSIONS,"36 Lorong 31 Geylang, 388034"
336,CHUAN GREEN,"76 Chuan Drive, 554823"
337,CHUAN LOFT,"60 Chuan Drive, 554611"
338,CHUAN PARK,"240 Lorong Chuan, 556743"
339,CHUAN SEVEN,"18 Chuan Drive, 554865"
340,CHUNG CHIN FLATS,"344 East Coast Road, 428963"
341,CITIGATE RESIDENCE,"168 Rangoon Road, 218437"
342,CITY EDGE,"14 Moulmein Rise, 308129"
343,CITY GATE,"371 Beach Road, 199597"
344,CITY LOFT,"363 Race Course Road, 218636"
345,CITY REGENCY,"18 Saint Michael's Road, 327977"
346,CITY SQUARE RESIDENCES,"14 Kitchener Link, 207223"
347,CITY SUITES,"235 Balestier Road, 329699"
348,CITYLIFE @ TAMPINES,"69 Tampines Central 7, 528596"
349,CITYLIFE@TAMPINES,"57 Tampines Central 7, 528593"
350,CITYLIGHTS,"82 Jellicoe Road, 208741"
351,CITYSCAPE @ FARRER PARK,"101 Mergui Road, 219067"
352,CITYVISTA RESIDENCES,"21 Peck Hay Road, 228314"
353,CLAREMONT,"161 Killiney Road, 239569"
354,CLEMENTI PARK,"115 Sunset Way, 597149"
355,CLEMENTIWOODS CONDOMINIUM,"90 West Coast Road, 12681"
356,CLIFTEN,"48 Ewe Boon Road, 259342"
357,CLIVEDEN AT GRANGE,"100 Grange Road, 249591"
358,CLOVER PARK,"12 Jalan Binchang, 574037"
359,CLUNY PARK RESIDENCE,"99 Cluny Park Road, 257496"
360,CLYDES RESIDENCE,"78 Mergui Road, 219054"
361,COASTAL BREEZE RESIDENCES,"8 Loyang Besar Close, 509049"
362,COASTAL VIEW RESIDENCES,"179 Jalan Loyang Besar, 506926"
363,COASTARINA,"510 East Coast Road, 459135"
364,COCO PALMS,"21 Pasir Ris Grove, 51807"
365,COMMONWEALTH TOWERS,"230 Commonwealth Avenue, 149739"
366,COMPASS HEIGHTS,"9 Sengkang Square, 545075"
367,CORALIS,"530 Joo Chiat Road, 42771"
368,CORALS AT KEPPEL BAY,"1 Keppel Bay Drive, 98012"
369,CORONA VILLE,"35 Jalan Haji Alias, 268535"
370,CORONATION ARCADE,"5 Coronation Road, 269406"
371,CORONATION GROVE,"138 Coronation Road, 269525"
372,CORONATION SHOPPING PLAZA,"587 Bukit Timah Road, 269707"
373,COSMO,"18 Guillemard Crescent, 399914"
374,COSTA DEL SOL,"68 Bayshore Road, 469986"
375,COSTA ESTE,"42 Lorong K Telok Kurau, 425653"
376,COSY 23,"23 Lorong 30 Geylang, 398355"
377,COSY LODGE,"29 Lorong 31 Geylang, 388029"
378,COTE D'AZUR,"60 Marine Parade Road, 449297"
379,COUNTRY ESQUIRE,"20 Lorong Puntong, 576438"
380,COUNTRY GRANDEUR,"22 Lorong Puntong, 576439"
381,COUNTRY PARK CONDO,"37 Bedok Road, 469362"
382,COUNTRY PARK CONDOMINIUM,"37 Bedok Road, 46936"
383,CRADELS,"10 Lorong Limau, 328754"
384,CRAIG PLACE,"20 Craig Road, 89692"
385,CRANE COURT,"38 Crane Road, 429381"
386,CRESCENDO BUILDING,"17 Upper East Coast Road, 455208"
387,CRESCENDO PARK,"6 Jalan Tua Kong, 457269"
388,CROWN CENTRE,"557 Bukit Timah Road, 269694"
389,CRYSTAL COURT,"456 River Valley Road, 248342"
390,CRYSTAL DE AZURE,"18 How Sun Close, 538645"
391,CRYSTAL DEW,"10 Geylang East Avenue 1, 389781"
392,CRYSTAL HEIGHTS,"75 Pasir Panjang Hill, 118885"
393,CRYSTAL LODGE,"30 Lorong 16 Geylang, 39887"
394,CRYSTAL MANSIONS,"3 Lorong 6 Geylang, 399165"
395,CUBE 8,"376 Thomson Road, 29813"
396,CUBIK,"81 Lorong K Telok Kurau, 425711"
397,CYAN,"6 Keng Chin Road, 258709"
398,D - HERITAGE APARTMENTS,"43 Lengkong Empat, 417659"
399,D' PALMA,"18 Lorong Mydin, 416817"
400,D'CHATEAU @ SHELFORD,"25 Shelford Road, 288415"
401,D'ECOSIA,"27 Still Road South, 423936"
