Condo Name,Address,Postal Code
CASA MEYA,25 Meyappa Chettiar Road,358464
CASA MEYFORT,79 Meyer Road,437906
CASA NASSAU,382 Upper East Coast Road,466474
CASA NOVACREST,17 Peck Hay Road,228313
CASA PASIR RIS,201 Jalan Loyang Besar,509506
CASA RIVIERA,19 Lim Tua Tow Road,547766
CASA ROSA,35 Lorong Ong Lye,536443
CASA ROSITA,257e Bukit Timah Road,259702
CASA SARINA,101 Lorong Sarina,416729
CASA SOPHIA,105 Sophia Road,228170
CASA UNO,1 Stevens Close,257939
CASABELLA,192 Duchess Avenue,266323
CASABELLA CONDOMINIUM,Duchess Avenue,
CASABLANCA,21 Rosewood Drive,737917
CASAFINA,211 Bedok South Avenue 1,469336
CASCADALE,730 Upper Changi Road East,486858
CASCATA,7 Teo Kim Eng Road,416378
CASERO @ DUNMAN,489 Dunman Road,439192
CASHEW PARK CONDOMINIUM,50 Cashew Road,679633
CASPIAN,50 Lakeside Drive,648315
CASSIA EDGE,343 Guillemard Road,399764
CASSIA VIEW,320 Guillemard Road,399746
CASTLE COURT,398 Changi Road,419845
CASTLE GREEN,481 Yio Chu Kang Road,787056
CASTLE LOFT,133 Lorong K Telok Kurau,425770
CASUARINA COVE,120 Tanjong Rhu Road,436904
CATHAY GARDENS,1 Keris Drive,456964
CAVAN ROAD,1 Cavan Road,209842
CAVAN SUITES,11 Cavan Road,209848
CAVENAGH COURT,151 Cavenagh Road,229628
CAVENAGH GARDENS,69 Cavenagh Road,229622
CAVENAGH HOUSE,100 Clemenceau Avenue North,229491
CAVENAGH LODGE,81 Cavenagh Road,229626
CAVENAGH MANSIONS,Cavenagh Road,
CAVENDISH PARK,16 Pine Grove,597593
CELADON VIEW,45 Jalan Loyang Besar,507029
CELESTIA,160 Joo Chiat Terrace,427305
CENTENNIA SUITES,100 Kim Seng Road,239427
CENTRA HEIGHTS,455 Sims Avenue,387607
CENTRA LOFT,3 Lorong 35 Geylang,387935
CENTRA RESIDENCE,8 Lorong 7 Geylang,388792
CENTRA STUDIOS,25 Lorong 25 Geylang,388302
CENTRA SUITES,38 Lorong 25a Geylang,388242
CENTRAL GREEN CONDOMINIUM,1 Jalan Membina,169479
CENTRAL GROVE,1 Geylang East Avenue 1,389778
CENTRAL IMPERIAL,3 Lorong 14 Geylang,398915
CENTRAL MEADOWS,51 Lorong 34 Geylang,398240
CENTRAL VIEW,50 Hougang Street 11,538749
CENTREPOINT APARTMENTS,176a Orchard Road,238844
CENTRINA,11 Everitt Road North,428524
CENTRO MANSIONS,20 Lorong 32 Geylang,398280
CENTRO RESIDENCES,59 Ang Mo Kio Avenue 8,567752
CENTURY MANSIONS,2m Jalan Remaja,668671
CENTURY VILLE,4 Keng Chin Road,258707
CEYLON CREST,30 Ceylon Road,429623
CEYLON POINT,94 Ceylon Road,429674
CEYLON RESIDENCE,107 Ceylon Road,429690
CHAMBERY MANSIONS,7 Sarkies Road,258127
CHANCERY CORNER,8a Chancery Lane,309495
CHANCERY COURT,36a Dunearn Road,309426
CHANCERY ESQUIRE,8 Chancery Lane,309494
CHANCERY PARK,9 Chancery Lane,309499
CHANGI COMPLEX,371 Bedok Road,469549
CHANGI COURT,698 Upper Changi Road East,486828
CHANGI GARDEN,961 Upper Changi Road North,507663
CHANGI GREEN,712 Upper Changi Road East,486842
CHANTILLY RISE,80 Hillview Avenue,669579
CHAPEL COURT,27 Sea Avenue,424247
CHAPEL LODGE,41 Lorong Stangee,425032
CHAPEL MANSION,Chapel Road,
