Index,Address,GPR,Area,Dwelling Units,LRA,Height control,Max dwelling units,Road setback,,
130,BALMORAL 8,1.6, , ,This site falls outside Strategic Areas. Please comply with the relevant LRA requirements.,Maximum 12 storey,Site must provide a minimum of 20% of DUs with a nett internal area of at least 70sqm., ,,
131,BALMORAL CONDOMINIUM,1.6, , ,This site falls outside Strategic Areas. Please comply with the relevant LRA requirements.,Maximum 12 storey,"Maximum allowable DUs for the site is derived by dividing the Gross Floor Area (GFA) of the residential component by 100sqm.
See More","['', 'CAT5', '7.5m (3m)']",,
132,BALMORAL CREST,1.6, , ,This site falls outside Strategic Areas. Please comply with the relevant LRA requirements.,Maximum 12 storey,Site must provide a minimum of 20% of DUs with a nett internal area of at least 70sqm.,"['', 'NCAT', '7.5m (3m)']",,
133,BALMORAL GATE,2.1, , ,This site falls outside Strategic Areas. Please comply with the relevant LRA requirements.,Maximum 24 storey,"Maximum allowable DUs for the site is derived by dividing the Gross Floor Area (GFA) of the residential component by 100sqm.
See More", ,,
135,BALMORAL HEIGHTS,1.6, , ,This site falls outside Strategic Areas. Please comply with the relevant LRA requirements.,Maximum 12 storey,Site must provide a minimum of 20% of DUs with a nett internal area of at least 70sqm.,"['', 'NCAT', '7.5m (3m)']",,
136,BALMORAL HILLS,1.6,"5,360 sqm",0,This site falls outside Strategic Areas. Please comply with the relevant LRA requirements.,Maximum 12 storey,"Maximum allowable DUs for the site is derived by dividing the Gross Floor Area (GFA) of the residential component by 100sqm.
See More","['BALMORAL PARK', 'CAT5', '7.5m (3m)']",,
137,BALMORAL LUCK,1.6, , ,This site falls outside Strategic Areas. Please comply with the relevant LRA requirements.,Maximum 12 storey,Site must provide a minimum of 20% of DUs with a nett internal area of at least 70sqm., ,,
138,BALMORAL PLACE,1.6, , ,This site falls outside Strategic Areas. Please comply with the relevant LRA requirements.,Maximum 12 storey,Site must provide a minimum of 20% of DUs with a nett internal area of at least 70sqm.,"['BALMORAL CRESCENT', 'NCAT', '7.5m (3m)']",,
139,BALMORAL POINT,2.1, , ,This site falls outside Strategic Areas. Please comply with the relevant LRA requirements.,Maximum 24 storey,"Maximum allowable DUs for the site is derived by dividing the Gross Floor Area (GFA) of the residential component by 100sqm.
See More", ,,
140,BALMORAL RESIDENCES,1.6, , ,This site falls outside Strategic Areas. Please comply with the relevant LRA requirements.,Maximum 12 storey,Site must provide a minimum of 20% of DUs with a nett internal area of at least 70sqm.,"['', 'NCAT', '7.5m (3m)']",,
141,BALMORAL TOWER,2.1, , ,This site falls outside Strategic Areas. Please comply with the relevant LRA requirements.,Maximum 24 storey,"Maximum allowable DUs for the site is derived by dividing the Gross Floor Area (GFA) of the residential component by 100sqm.
See More", ,,
142,BALMY COURT,2.8, , ,LRA requirements are generally not applicable to private sector developments.,Subject to detailed evaluation,"Maximum allowable DUs for the site is derived by dividing the Gross Floor Area (GFA) of the residential component by 85sqm.
See More","['', 'NCAT', '5m']",,
143,BANYAN CONDOMINIUM,1.4, , ,This site falls outside Strategic Areas. Please comply with the relevant LRA requirements.,Maximum 5 storey,"Maximum allowable DUs for the site is derived by dividing the Gross Floor Area (GFA) of the residential component by 100sqm.
See More","['PASIR PANJANG ROAD', 'CAT2', 'Building â‰¤ 5 storeys\n12m (5m)Building â‰¥ 6 storeys\n15m (5m)']",,
144,BAODE BUILDING,2.8, , ,LRA requirements are generally not applicable to private sector developments.,Subject to detailed evaluation,"Maximum allowable DUs for the site is derived by dividing the Gross Floor Area (GFA) of the residential component by 85sqm.
See More", ,,
145,BARTLEY RESIDENCES,2.8,"22,094.4 sqm",-,This site falls outside Strategic Areas. Please comply with the relevant LRA requirements.,Maximum 36 storey,"Maximum allowable DUs for the site is derived by dividing the Gross Floor Area (GFA) of the residential component by 100sqm.
See More","['BARTLEY ROAD', 'CAT2', 'Building â‰¤ 5 storeys\n12m (5m)Building â‰¥ 6 storeys\n15m (5m)']",,
146,BARTLEY RIDGE,3.5, , ,This site falls outside Strategic Areas. Please comply with the relevant LRA requirements.,More than 36 storey,"Maximum allowable DUs for the site is derived by dividing the Gross Floor Area (GFA) of the residential component by 85sqm.
See More", ,,
148,BASSEIN COURT,2.8, , ,This site falls outside Strategic Areas. Please comply with the relevant LRA requirements.,Maximum 36 storey,"Maximum allowable DUs for the site is derived by dividing the Gross Floor Area (GFA) of the residential component by 100sqm.
See More","['BASSEIN ROAD', 'CAT5', '7.5m (3m)']",,
150,BAYOU RESIDENCE,1.4, , ,This site falls outside Strategic Areas. Please comply with the relevant LRA requirements.,Maximum 5 storey,"Maximum allowable DUs for the site is derived by dividing the Gross Floor Area (GFA) of the residential component by 100sqm.
See More","['', 'CAT2', 'Building â‰¤ 5 storeys\n12m (5m)Building â‰¥ 6 storeys\n15m (5m)']",,
151,BAYSHORE PARK,2.8, , ,This site falls outside Strategic Areas. Please comply with the relevant LRA requirements.,Maximum 36 storey,"Maximum allowable DUs for the site is derived by dividing the Gross Floor Area (GFA) of the residential component by 100sqm.
See More", ,,
152,BAYVILLE CONDOMINIUM,1.4, , ,This site falls outside Strategic Areas. Please comply with the relevant LRA requirements.,Maximum 5 storey,"Maximum allowable DUs for the site is derived by dividing the Gross Floor Area (GFA) of the residential component by 100sqm.
See More", ,,
153,BAYWATER,2.5,"25,796.5 sqm",410,This site falls outside Strategic Areas. Please comply with the relevant LRA requirements.,Subject to detailed evaluation,"Maximum allowable DUs for the site is derived by dividing the Gross Floor Area (GFA) of the residential component by 85sqm.
See More","['BEDOK NORTH AVENUE 3', 'CAT3', 'Building â‰¤ 5 storeys\n7.5m (3m)Building â‰¥ 6 storeys\n10m (3m)']",,
154,BEACON HEIGHTS,2.8,"5,903.2 sqm",212,This site falls outside Strategic Areas. Please comply with the relevant LRA requirements.,Maximum 36 storey,"Maximum allowable DUs for the site is derived by dividing the Gross Floor Area (GFA) of the residential component by 85sqm.
See More","['', 'CAT5', '7.5m']",,
156,BEAUFORT ON NASSIM,1.4, , ,This site falls outside Strategic Areas. Please comply with the relevant LRA requirements.,Subject to detailed evaluation,"Maximum allowable DUs for the site is derived by dividing the Gross Floor Area (GFA) of the residential component by 85sqm.
See More", ,,
158,BEDOK COURT,2.1, , ,This site falls outside Strategic Areas. Please comply with the relevant LRA requirements.,Maximum 24 storey,Guideline on maximum allowable DUs is not applicable to HDB residential developments.,"['BEDOK SOUTH AVENUE 3', 'CAT3', 'Building â‰¤ 5 storeys\n7.5m (3m)Building â‰¥ 6 storeys\n10m (3m)']",,
159,BEDOK RESIDENCES,3.5,"24,902.2 sqm",583,This site falls within Strategic Areas. Please comply with the relevant LRA requirements.,Subject to detailed evaluation,"Maximum allowable DUs for the site is derived by dividing the Gross Floor Area (GFA) of the residential component by 85sqm.
See More","['NEW UPPER CHANGI ROAD', 'CAT2', 'Building â‰¤ 5 storeys\n12m (5m)Building â‰¥ 6 storeys\n15m (5m)']",,
160,BELLA CASITA,2.8, , ,This site falls outside Strategic Areas. Please comply with the relevant LRA requirements.,Maximum 36 storey,"Maximum allowable DUs for the site is derived by dividing the Gross Floor Area (GFA) of the residential component by 85sqm.
See More","['', 'CAT5', '7.5m (3m)']",,
161,BELLA VISTA,1.4, , ,This site falls outside Strategic Areas. Please comply with the relevant LRA requirements.,Maximum 5 storey,"Maximum allowable DUs for the site is derived by dividing the Gross Floor Area (GFA) of the residential component by 85sqm.
See More","['SOMMERVILLE ROAD', 'CAT5', '7.5m (3m)']",,
162,BELLE VUE RESIDENCES,1.4, , ,This site falls outside Strategic Areas. Please comply with the relevant LRA requirements.,Maximum 5 storey,Site must provide a minimum of 20% of DUs with a nett internal area of at least 70sqm.,"['OXLEY WALK', 'NCAT', '7.5m (3m)']",,
163,BELLERIVE,2.1, , ,This site falls outside Strategic Areas. Please comply with the relevant LRA requirements.,Maximum 24 storey,"Maximum allowable DUs for the site is derived by dividing the Gross Floor Area (GFA) of the residential component by 100sqm.
See More","['EWE BOON ROAD', 'CAT5', '7.5m (3m)']",,
164,BELLEWATERS,3,"23,000 sqm",651,This site falls outside Strategic Areas. Please comply with the relevant LRA requirements.,More than 36 storey,"Maximum allowable DUs for the site is derived by dividing the Gross Floor Area (GFA) of the residential component by 85sqm.
See More","['ANCHORVALE CRESCENT', 'CAT4', '7.5m (3m)']",,
165,BELLEWOODS,2.8,"21,004.3 sqm",561,This site falls outside Strategic Areas. Please comply with the relevant LRA requirements.,Maximum 36 storey,"Maximum allowable DUs for the site is derived by dividing the Gross Floor Area (GFA) of the residential component by 85sqm.
See More","['WOODLANDS AVENUE 6', 'CAT4', '7.5m (3m)']",,
166,BELLEZZA @ KATONG,1.4, , ,This site falls outside Strategic Areas. Please comply with the relevant LRA requirements.,Maximum 5 storey,"Maximum allowable DUs for the site is derived by dividing the Gross Floor Area (GFA) of the residential component by 100sqm.
See More", ,,
167,BELMOND GREEN,1.6, , ,This site falls outside Strategic Areas. Please comply with the relevant LRA requirements.,Maximum 12 storey,"Maximum allowable DUs for the site is derived by dividing the Gross Floor Area (GFA) of the residential component by 100sqm.
See More","['', 'CAT5', '7.5m (3m)']",,
168,BELMONDO VIEW,2.8, , ,This site falls outside Strategic Areas. Please comply with the relevant LRA requirements.,Maximum 36 storey,"Maximum allowable DUs for the site is derived by dividing the Gross Floor Area (GFA) of the residential component by 100sqm.
See More","['', 'CAT5', '7.5m (3m)']",,
169,BELYSA,2.1, , ,This site falls outside Strategic Areas. Please comply with the relevant LRA requirements.,Maximum 24 storey,"Maximum allowable DUs for the site is derived by dividing the Gross Floor Area (GFA) of the residential component by 85sqm.
See More","['ELIAS ROAD', 'CAT4', '7.5m (3m)']",,
170,BENDIGO GARDENS,1.4, , ,This site falls outside Strategic Areas. Please comply with the relevant LRA requirements.,Maximum 5 storey,"Maximum allowable DUs for the site is derived by dividing the Gross Floor Area (GFA) of the residential component by 100sqm.
See More","['KOON SENG ROAD', 'CAT4', '7.5m (3m)']",,
171,BERKELEY RESIDENCES,1.4,"1,125.8 sqm",22,This site falls outside Strategic Areas. Please comply with the relevant LRA requirements.,Maximum 5 storey,"Maximum allowable DUs for the site is derived by dividing the Gross Floor Area (GFA) of the residential component by 100sqm.
See More","['LORONG N TELOK KURAU', 'CAT5', '7.5m (3m)']",,
172,BEVERLY HILL,2.1,"13,732.72 sqm",0,This site falls outside Strategic Areas. Please comply with the relevant LRA requirements.,Maximum 24 storey,"Maximum allowable DUs for the site is derived by dividing the Gross Floor Area (GFA) of the residential component by 85sqm.
See More","['', 'CAT4', '7.5m (3m)']",,
173,BIJOU,3,"3,680 sqm",120,This site falls outside Strategic Areas. Please comply with the relevant LRA requirements.,Maximum 5 storey,"Maximum allowable DUs for the site is derived by dividing the Gross Floor Area (GFA) of the residential component by 100sqm.
See More","['JALAN MAT JAMBOL', 'CAT5', '7.5m (3m)']",,
175,BIRMINGHAM MANSIONS,2.8, , ,This site falls outside Strategic Areas. Please comply with the relevant LRA requirements.,Maximum 117m SHD,"Maximum allowable DUs for the site is derived by dividing the Gross Floor Area (GFA) of the residential component by 85sqm.
See More","['THOMSON ROAD', 'NCAT', '7.5m (3m)']",,
176,BISHAN 8,1.6, , ,This site falls outside Strategic Areas. Please comply with the relevant LRA requirements.,Maximum 12 storey,"Maximum allowable DUs for the site is derived by dividing the Gross Floor Area (GFA) of the residential component by 85sqm.
See More","['BISHAN STREET 21', 'CAT3', 'Building â‰¤ 5 storeys\n7.5m (3m)Building â‰¥ 6 storeys\n10m (3m)']",,
179,BISHOPSGATE RESIDENCES,1.4, , ,This site falls outside Strategic Areas. Please comply with the relevant LRA requirements.,Maximum 5 storey,"Maximum allowable DUs for the site is derived by dividing the Gross Floor Area (GFA) of the residential component by 85sqm.
See More","['BISHOPSGATE', 'CAT5', '7.5m (3m)']",,
181,BLISS LOFT,2.8, , ,This site falls outside Strategic Areas. Please comply with the relevant LRA requirements.,Maximum 36 storey,"Maximum allowable DUs for the site is derived by dividing the Gross Floor Area (GFA) of the residential component by 100sqm.
See More","['', 'CAT5', '7.5m (3m)']",,
184,BLOSSOM MANSIONS,2.8, , ,LRA requirements are generally not applicable to private sector developments.,Subject to detailed evaluation,"Maximum allowable DUs for the site is derived by dividing the Gross Floor Area (GFA) of the residential component by 85sqm.
See More", ,,
185,BLOSSOM RESIDENCES,3,0 sqm,602,This site falls outside Strategic Areas. Please comply with the relevant LRA requirements.,More than 36 storey,"Maximum allowable DUs for the site is derived by dividing the Gross Floor Area (GFA) of the residential component by 85sqm.
See More","['', 'CAT4', '7.5m (3m)']",,
186,BLOSSOM VIEW,2.8, , ,This site falls outside Strategic Areas. Please comply with the relevant LRA requirements.,Subject to detailed evaluation,"Maximum allowable DUs for the site is derived by dividing the Gross Floor Area (GFA) of the residential component by 85sqm.
See More", ,,
189,BLUE HORIZON,2.8, , ,This site falls outside Strategic Areas. Please comply with the relevant LRA requirements.,Maximum 36 storey,"Maximum allowable DUs for the site is derived by dividing the Gross Floor Area (GFA) of the residential component by 85sqm.
See More","['WEST COAST ROAD', 'CAT4', '7.5m (3m)']",,
190,BLUWATERS 2,1.4,"4,496.1 sqm",71,This site falls outside Strategic Areas. Please comply with the relevant LRA requirements.,Maximum 5 storey,"Maximum allowable DUs for the site is derived by dividing the Gross Floor Area (GFA) of the residential component by 85sqm.
See More","['', 'CAT5', '7.5m (3m)']",,
